,List Size (2013-01-26),Admin,Admin %,BounceOut,BounceOut %,FeedBackLoop,FeedBackLoop %,FFUnsubLink,FFUnsubLink %,R4LUnsubLink,R4LUnsubLink %,WIMUnsubLink,WIMUnsubLink %,SFUnsubLink,SFUnsubLink %,SubCenter,SubCenter %,Total,Total %
Daily Insider (411),78541,2,0.003%,7,0.009%,55,0.070%,114,0.145%,0,0.000%,0,0.000%,0,0.000%,5,0.006%,183,0.233%
Fit&Fab Living Special Offers (410),120592,2,0.002%,9,0.007%,75,0.062%,159,0.132%,0,0.000%,0,0.000%,0,0.000%,9,0.007%,254,0.211%
Daily Recipes (393),2010200,3,0.000%,240,0.012%,2509,0.125%,0,0.000%,4077,0.203%,0,0.000%,0,0.000%,172,0.009%,7001,0.348%
Recipe4Living Special Offers (396),2039592,3,0.000%,240,0.012%,2522,0.124%,0,0.000%,4976,0.244%,0,0.000%,0,0.000%,148,0.007%,7889,0.387%
Budget Cooking (395),130160,2,0.002%,21,0.016%,195,0.150%,0,0.000%,250,0.192%,0,0.000%,0,0.000%,28,0.022%,496,0.381%
Quick & Easy Recipes (394),94586,1,0.001%,3,0.003%,122,0.129%,0,0.000%,145,0.153%,0,0.000%,0,0.000%,11,0.012%,282,0.298%
Diet Insider (448),44006,1,0.002%,3,0.007%,31,0.070%,72,0.164%,0,0.000%,0,0.000%,0,0.000%,7,0.016%,114,0.259%
Crockpot Creations (511),85343,1,0.001%,1,0.001%,127,0.149%,0,0.000%,188,0.220%,0,0.000%,0,0.000%,8,0.009%,325,0.381%
Casserole Cookin' (539),31940,1,0.003%,1,0.003%,59,0.185%,0,0.000%,82,0.257%,0,0.000%,0,0.000%,6,0.019%,149,0.466%
Copycat Classics (554),35293,2,0.006%,3,0.009%,88,0.249%,0,0.000%,125,0.354%,0,0.000%,0,0.000%,12,0.034%,230,0.652%
Making It Work (553),19565,2,0.010%,1,0.005%,23,0.118%,0,0.000%,0,0.000%,82,0.419%,0,0.000%,2,0.010%,110,0.562%
Work It  Mom! Special Offers (558),16360,2,0.012%,1,0.006%,23,0.141%,0,0.000%,0,0.000%,50,0.306%,0,0.000%,3,0.018%,79,0.483%
Diabetic-Friendly Dishes (574),,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
The Feed by SavvyFork (583),,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%,0,0.000%
Total,4706178,22,0.000%,530,0.011%,5829,0.124%,345,0.007%,9843,0.209%,132,0.003%,0,0.000%,411,0.009%,17112,0.364%
Unique Emails,,2,,250,,2648,,199,,5885,,83,,0,,209,,9276,
