,0-30,31-60,61-90,91-120,121-180,181-240,241-300,301-360,361+,
Daily Recipes[393],0,0,0,0,1,4,9,23,92,
Quick & Easy Recipes[394],0,0,0,0,1,0,1,1,4,
Budget Cooking[395],0,0,0,0,0,0,0,0,5,
Recipe4Living Special Offers[396],0,0,0,0,0,1,2,2,25,
Fit&Fab Living Special Offers[410],0,0,0,0,1,1,1,1,12,
Daily Insider[411],0,0,0,1,0,2,1,2,4,
Diet Insider[448],0,0,0,1,0,1,1,4,4,
Crockpot Creations[511],0,0,0,0,0,0,0,1,3,
Casserole Cookin'[539],0,0,0,0,0,0,0,1,5,
Making It Work[553],1,0,0,0,0,0,0,0,0,
Copycat Classics[554],0,0,0,0,0,0,0,0,6,
Work It  Mom! Special Offers[558],1,0,0,0,0,1,0,0,2,
Diabetic-Friendly Dishes[574],0,0,0,0,0,0,0,0,1,
The Feed by SavvyFork[583],0,0,1,0,0,3,4,1,4,
