Mississippi,12016
Alabama,21309
Louisiana,18925
South Carolina,20749
Utah,8899
Tennessee,28184
Arkansas,12901
North Carolina,47250
Georgia,49116
Texas,94550
North Dakota,2664
Oklahoma,15767
Kentucky,21669
South Dakota,3240
Kansas,12369
Iowa,11388
Nebraska,7664
Indiana,27562
Minnesota,16341
Missouri,76982
Virginia,31396
New Mexico,6129
Illinois,46521
Pennsylvania,54869
West Virginia,9634
Idaho,5472
Ohio,53568
Florida,84630
Maryland,22518
Michigan,43055
Wisconsin,23082
Arizona,24356
Delaware,3764
New Jersey,31404
District of Columbia,2499
Montana,3601
California,96455
Colorado,16537
New York,71045
Wyoming,150423
Connecticut,11947
Rhode Island,4411
Washington,25625
Alaska,2412
Hawaii,3745
Oregon,12362
Nevada,9836
Massachusetts,22617
Maine,6452
New Hampshire,5364
Vermont,2358
